in_channels,f_height,subsampling_factor,latency_mean
41,11,1,0.001166430301964283
41,11,2,0.026567699387669563
46,11,1,0.0010728486813604832
46,11,2,0.02703700913116336
51,11,1,0.0010754098184406757
51,11,2,0.02454924862831831
56,11,1,0.0011422205716371536
56,11,2,0.037826900370419025
61,11,1,0.001088092103600502
61,11,2,0.04081806866452098
66,11,1,0.001075700856745243
66,11,2,0.0306493416428566
71,11,1,0.0010770303197205067
71,11,2,0.04659776110202074
76,11,1,0.0010702991858124733
76,11,2,0.048995278775691986
81,11,1,0.0010840198956429958
81,11,2,0.052700950764119625
86,11,1,0.0010751979425549507
86,11,2,0.054938518442213535
91,11,1,0.0010792398825287819
91,11,2,0.057699549943208694
96,11,1,0.0010835891589522362
96,11,2,0.0412464514374733
101,11,1,0.001871609129011631
101,11,2,0.04364463035017252
106,11,1,0.0010642805136740208
106,11,2,0.04608717979863286
111,11,1,0.001084988471120596
111,11,2,0.06901737069711089
116,11,1,0.0010670209303498268
116,11,2,0.04955145996063948
121,11,1,0.0014807120896875858
121,11,2,0.07445731898769736
126,11,1,0.0010779500007629395
126,11,2,0.07763654924929142
131,11,1,0.0010820291936397552
131,11,2,0.08031870005652308
136,11,1,0.0012297485955059528
136,11,2,0.08291931124404073
141,11,1,0.0011010398156940937
141,11,2,0.059393050614744425
146,11,1,0.0010704505257308483
146,11,2,0.08877475978806615
1,12,1,0.0010826392099261284
1,12,2,0.006871798541396856
6,12,1,0.001072930172085762
6,12,2,0.015147398225963116
11,12,1,0.0017101503908634186
11,12,2,0.01495748059824109
16,12,1,0.001087698619812727
16,12,2,0.019076319877058268
21,12,1,0.001593420747667551
21,12,2,0.02301424043253064
26,12,1,0.001176898367702961
26,12,2,0.027152670081704855
31,12,1,0.0010730000212788582
31,12,2,0.031094278674572706
36,12,1,0.001579909585416317
36,12,2,0.03495866898447275
41,12,1,0.0012666708789765835
41,12,2,0.027374140918254852
46,12,1,0.0015618279576301575
46,12,2,0.04315441008657217
51,12,1,0.0010788114741444588
51,12,2,0.046864820178598166
56,12,1,0.0010855495929718018
56,12,2,0.035988239105790854
61,12,1,0.001087249256670475
61,12,2,0.05506887100636959
66,12,1,0.0010747485794126987
66,12,2,0.05904172081500292
71,12,1,0.0015849899500608444
71,12,2,0.06335680838674307
76,12,1,0.0010919012129306793
76,12,2,0.06695237942039967
81,12,1,0.001076508779078722
81,12,2,0.04968886962160468
86,12,1,0.0010812096297740936
86,12,2,0.05332825006917119
91,12,1,0.001270161010324955
91,12,2,0.07921120850369334
96,12,1,0.0012917513959109783
96,12,2,0.05706969881430268
101,12,1,0.0010921899229288101
101,12,2,0.08720234967768192
106,12,1,0.0012676697224378586
106,12,2,0.09125801036134362
111,12,1,0.0010775704868137836
111,12,2,0.06596497958526015
116,12,1,0.0011259200982749462
116,12,2,0.06772646214812994
121,12,1,0.0010807905346155167
121,12,2,0.10400379076600075
126,12,1,0.0010772095993161201
126,12,2,0.07344931829720736
131,12,1,0.001078769564628601
131,12,2,0.11115666013211012
136,12,1,0.0010732398368418217
136,12,2,0.10018819011747837
141,12,1,0.0011351006105542183
141,12,2,0.08857697946950793
146,12,1,0.0011051609180867672
146,12,2,0.12573163956403732
1,13,1,0.0012195785529911518
1,13,2,0.006900927983224392
6,13,1,0.0012168590910732746
6,13,2,0.008158739656209946
11,13,1,0.0010842387564480305
11,13,2,0.010534101165831089
16,13,1,0.0010712980292737484
16,13,2,0.013169478625059128
21,13,1,0.0010761106386780739
21,13,2,0.02315639052540064
26,13,1,0.0010805507190525532
26,13,2,0.01933084102347493
31,13,1,0.0010728486813604832
31,13,2,0.03149669151753187
36,13,1,0.001230181660503149
36,13,2,0.03548026084899902
41,13,1,0.0012295693159103394
41,13,2,0.03945339936763048
46,13,1,0.0010732002556324005
46,13,2,0.02957619959488511
51,13,1,0.0011446094140410423
51,13,2,0.03625248093158007
56,13,1,0.001073409803211689
56,13,2,0.051449970342218876
61,13,1,0.0011876109056174755
61,13,2,0.0558701204136014
66,13,1,0.0010790908709168434
66,13,2,0.05971868988126516
71,13,1,0.0010812701657414436
71,13,2,0.043741639237850904
76,13,1,0.0010762503370642662
76,13,2,0.06775139132514596
81,13,1,0.0010869489051401615
81,13,2,0.0716578378342092
86,13,1,0.0010721897706389427
86,13,2,0.05111518083140254
91,13,1,0.0010794703848659992
91,13,2,0.07967185927554965
96,13,1,0.001567129511386156
96,13,2,0.057029740419238806
101,13,1,0.001080839429050684
101,13,2,0.060192879755049944
106,13,1,0.001082399394363165
106,13,2,0.06217190064489842
111,13,1,0.0010807299986481667
111,13,2,0.09591601090505719
116,13,1,0.0010660896077752113
116,13,2,0.06751114036887884
121,13,1,0.0010882900096476078
121,13,2,0.068083421792835
126,13,1,0.0010748999193310738
126,13,2,0.07542921928688884
131,13,1,0.0014016497880220413
131,13,2,0.11223527137190104
136,13,1,0.0010767998173832893
136,13,2,0.1162326498888433
141,13,1,0.0012613506987690926
141,13,2,0.12051763944327831
146,13,1,0.0010775704868137836
146,13,2,0.12458354933187366
1,14,1,0.0011575291864573956
1,14,2,0.006030648946762085
6,14,1,0.0010740500874817371
6,14,2,0.012510230299085379
11,14,1,0.0010761106386780739
11,14,2,0.018161199986934662
16,14,1,0.0010775099508464336
16,14,2,0.023564931470900774
21,14,1,0.0010857591405510902
21,14,2,0.029117860831320286
26,14,1,0.001104550901800394
26,14,2,0.03449707990512252
31,14,1,0.0010915705934166908
31,14,2,0.03992999903857708
36,14,1,0.0010755285620689392
36,14,2,0.045489310286939144
41,14,1,0.0010729581117630005
41,14,2,0.0346418097615242
46,14,1,0.0010786508210003376
46,14,2,0.05676459055393934
51,14,1,0.001081828959286213
51,14,2,0.0616521411575377
56,14,1,0.0010737497359514236
56,14,2,0.0670236092992127
61,14,1,0.0010809209197759628
61,14,2,0.04944576183333993
66,14,1,0.0011917995288968086
66,14,2,0.07805539993569255
71,14,1,0.0010860501788556576
71,14,2,0.0838095904327929
76,14,1,0.001075631007552147
76,14,2,0.0931500201113522
81,14,1,0.0012048706412315369
81,14,2,0.09444494033232331
86,14,1,0.0010839710012078285
86,14,2,0.07335381116718054
91,14,1,0.0010894006118178368
91,14,2,0.07188955787569284
96,14,1,0.001069770660251379
96,14,2,0.11075258022174239
101,14,1,0.001089621800929308
101,14,2,0.11585240019485354
106,14,1,0.0010766205377876759
106,14,2,0.12236162088811399
111,14,1,0.0010711397044360638
111,14,2,0.0871005398221314
116,14,1,0.0010783388279378414
116,14,2,0.13196926098316908
121,14,1,0.001082641538232565
121,14,2,0.13813628116622567
126,14,1,0.0010980409570038319
126,14,2,0.14688058057799935
131,14,1,0.0011012796312570572
131,14,2,0.1522730616852641
136,14,1,0.001082499511539936
136,14,2,0.153575309086591
141,14,1,0.0010817893780767918
141,14,2,0.11477428954094648
146,14,1,0.001076841726899147
146,14,2,0.11374005815014243
1,15,1,0.0010828999802470207
1,15,2,0.007083851378411055
6,15,1,0.0012323702685534954
6,15,2,0.01281782053411007
11,15,1,0.0015609501861035824
11,15,2,0.01826592953875661
16,15,1,0.0011286092922091484
16,15,2,0.0163932703435421
21,15,1,0.0010762200690805912
21,15,2,0.029105350840836763
26,15,1,0.001087309792637825
26,15,2,0.03458220046013594
31,15,1,0.0014752103015780449
31,15,2,0.04023405956104398
36,15,1,0.0014695990830659866
36,15,2,0.0456011388450861
41,15,1,0.001071360893547535
41,15,2,0.03461675951257348
46,15,1,0.0010726996697485447
46,15,2,0.056849280372262
51,15,1,0.0010803411714732647
51,15,2,0.042786840349435806
56,15,1,0.0012141512706875801
56,15,2,0.06781870033591986
61,15,1,0.0010771979577839375
61,15,2,0.049798248801380396
66,15,1,0.0010795798152685165
66,15,2,0.07834278047084808
71,15,1,0.0010769395157694817
71,15,2,0.08388421963900328
76,15,1,0.0010700407437980175
76,15,2,0.06135192001238465
81,15,1,0.0010735797695815563
81,15,2,0.09472543140873313
86,15,1,0.0014751194976270199
86,15,2,0.0680861109867692
91,15,1,0.001082110684365034
91,15,2,0.1058572088368237
96,15,1,0.0011122412979602814
96,15,2,0.11133098043501377
101,15,1,0.0010812003165483475
101,15,2,0.11693800101056695
106,15,1,0.0017769308760762215
106,15,2,0.1221696101129055
111,15,1,0.0010709394700825214
111,15,2,0.1278916490264237
116,15,1,0.0010765902698040009
116,15,2,0.1328601106069982
121,15,1,0.0010887091048061848
121,15,2,0.09336650837212801
126,15,1,0.0010717986151576042
126,15,2,0.14384832000359893
131,15,1,0.0010746018961071968
131,15,2,0.1498256204649806
136,15,1,0.0012240512296557426
136,15,2,0.1544529409147799
141,15,1,0.0011706002987921238
141,15,2,0.10992675786837935
146,15,1,0.0010924506932497025
146,15,2,0.1133730192668736
1,16,1,0.0013014604337513447
1,16,2,0.007611638866364956
6,16,1,0.0014467095024883747
6,16,2,0.010244890581816435
11,16,1,0.001082338858395815
11,16,2,0.0216742604970932
16,16,1,0.0010712002404034138
16,16,2,0.020024459809064865
21,16,1,0.001759580336511135
21,16,2,0.03620132105425
26,16,1,0.0016984203830361366
26,16,2,0.04291291115805507
31,16,1,0.0015791296027600765
31,16,2,0.050216258969157934
36,16,1,0.0010687997564673424
36,16,2,0.05695644998922944
41,16,1,0.0017404393292963505
41,16,2,0.04690066911280155
46,16,1,0.0012727687135338783
46,16,2,0.07123855873942375
51,16,1,0.0015808199532330036
51,16,2,0.07829386042430997
56,16,1,0.0010791816748678684
56,16,2,0.08519744034856558
61,16,1,0.0010804599151015282
61,16,2,0.08846413809806108
66,16,1,0.0010795006528496742
66,16,2,0.06796397035941482
71,16,1,0.0013428600504994392
71,16,2,0.10623379144817591
76,16,1,0.0010807998478412628
76,16,2,0.07766263093799353
81,16,1,0.0010773399844765663
81,16,2,0.12046481017023325
86,16,1,0.0010802713222801685
86,16,2,0.10692037176340818
91,16,1,0.001666909083724022
91,16,2,0.1347090513445437
96,16,1,0.0010709092020988464
96,16,2,0.09814769960939884
101,16,1,0.0013322383165359497
101,16,2,0.10161012876778841
106,16,1,0.0010784994810819626
106,16,2,0.15379925025627017
111,16,1,0.001075549516826868
111,16,2,0.1591988606378436
116,16,1,0.0010730582289397717
116,16,2,0.11603633174672723
121,16,1,0.0012682517990469933
121,16,2,0.1686882902868092
126,16,1,0.0010698591358959675
126,16,2,0.17346092965453863
131,16,1,0.0010792398825287819
131,16,2,0.17642616061493754
136,16,1,0.0010757707059383392
136,16,2,0.18294754903763533
141,16,1,0.001075600739568472
141,16,2,0.18533774884417653
146,16,1,0.0010740081779658794
146,16,2,0.19247926073148847
1,17,1,0.0010913214646279812
1,17,2,0.007488681003451347
6,17,1,0.0012530898675322533
6,17,2,0.010196310468018055
11,17,1,0.001085831318050623
11,17,2,0.015197189059108496
16,17,1,0.0010766112245619297
16,17,2,0.028890790417790413
21,17,1,0.0010694703087210655
21,17,2,0.036263661459088326
26,17,1,0.0010760687291622162
26,17,2,0.0434258789755404
31,17,1,0.0015748292207717896
31,17,2,0.0505337817594409
36,17,1,0.0014607980847358704
36,17,2,0.05727462936192751
41,17,1,0.0015793112106621265
41,17,2,0.06461814977228642
46,17,1,0.0010867603123188019
46,17,2,0.048680189065635204
51,17,1,0.001093170139938593
51,17,2,0.0789769901894033
56,17,1,0.0012115808203816414
56,17,2,0.05787820089608431
61,17,1,0.0010816589929163456
61,17,2,0.06535012042149901
66,17,1,0.0015842798165977001
66,17,2,0.10033130878582597
71,17,1,0.0015946384519338608
71,17,2,0.10731724789366126
76,17,1,0.0014650006778538227
76,17,2,0.11476745130494237
81,17,1,0.00107988016679883
81,17,2,0.08316091960296035
86,17,1,0.0010744808241724968
86,17,2,0.08861918933689594
91,17,1,0.001091549638658762
91,17,2,0.13559557031840086
96,17,1,0.001076720654964447
96,17,2,0.14288014033809304
101,17,1,0.0010762689635157585
101,17,2,0.14718609862029552
106,17,1,0.0010820082388818264
106,17,2,0.15446973033249378
111,17,1,0.0010860199108719826
111,17,2,0.11170564917847514
116,17,1,0.0010695192031562328
116,17,2,0.16465529100969434
121,17,1,0.001079128123819828
121,17,2,0.16995219979435205
126,17,1,0.0010658800601959229
126,17,2,0.17249884083867073
131,17,1,0.0010865717194974422
131,17,2,0.17923766048625112
136,17,1,0.0010968605056405067
136,17,2,0.15249446965754032
141,17,1,0.001079728826880455
141,17,2,0.14143758220598102
146,17,1,0.00107988016679883
146,17,2,0.14426643028855324
1,18,1,0.0010902713984251022
1,18,2,0.007884460501372814
6,18,1,0.001261020079255104
6,18,2,0.016760078724473715
11,18,1,0.0010772491805255413
11,18,2,0.026010628789663315
16,18,1,0.0010684505105018616
16,18,2,0.035099321976304054
21,18,1,0.0010890094563364983
21,18,2,0.0439370097592473
26,18,1,0.0010725785978138447
26,18,2,0.05274491151794791
31,18,1,0.0010757893323898315
31,18,2,0.05974582862108946
36,18,1,0.0010944600217044353
36,18,2,0.04912361968308687
41,18,1,0.0010821898467838764
41,18,2,0.05385202821344137
46,18,1,0.001147240400314331
46,18,2,0.08874299935996532
51,18,1,0.0010863784700632095
51,18,2,0.09743213886395097
56,18,1,0.0010733702220022678
56,18,2,0.10678600985556841
61,18,1,0.0010765180923044682
61,18,2,0.07869752123951912
66,18,1,0.0010774610564112663
66,18,2,0.08630071068182588
71,18,1,0.0010797311551868916
71,18,2,0.13802836183458567
76,18,1,0.0010980991646647453
76,18,2,0.14308579033240676
81,18,1,0.0010872911661863327
81,18,2,0.1503262296319008
86,18,1,0.0010722898878157139
86,18,2,0.11412871070206165
91,18,1,0.0010842690244317055
91,18,2,0.11827640002593398
96,18,1,0.0010841898620128632
96,18,2,0.16906494973227382
101,18,1,0.0010796496644616127
101,18,2,0.17489769961684942
106,18,1,0.0010770210064947605
106,18,2,0.13396942988038063
111,18,1,0.0010785693302750587
111,18,2,0.18439331091940403
116,18,1,0.0013060402125120163
116,18,2,0.19394994946196675
121,18,1,0.0010768999345600605
121,18,2,0.15113892033696175
126,18,1,0.0010817102156579494
126,18,2,0.15852873213589191
131,18,1,0.0010818406008183956
131,18,2,0.16432804055511951
136,18,1,0.0010811095125973225
136,18,2,0.2621010900475085
141,18,1,0.0016664806753396988
141,18,2,0.28174320003017783
146,18,1,0.0017245905473828316
146,18,2,0.27629168005660176
1,19,1,0.0010913400910794735
1,19,2,0.005513490177690983
6,19,1,0.0017058220691978931
6,19,2,0.012185841333121061
