in_channels,f_height,max_channels,num_masks,latency_mean
1,4,1,1,0.04585136193782091
1,4,1,2,0.046688891015946865
1,4,1,3,0.04643111024051905
1,4,1,4,0.04694861127063632
1,4,1,5,0.04683341132476926
1,4,6,1,0.06383898900821805
1,4,6,2,0.06308876210823655
1,4,6,3,0.06251798942685127
1,4,6,4,0.07617929019033909
1,4,6,5,0.06263053975999355
1,4,11,1,0.06292772945016623
1,4,11,2,0.10199835989624262
1,4,11,3,0.0917925895191729
1,4,11,4,0.09210000047460198
1,4,11,5,0.09239761158823967
1,4,16,1,0.09201542939990759
1,4,16,2,0.09336986811831594
1,4,16,3,0.06359359016641974
1,4,16,4,0.07511422969400883
1,4,16,5,0.06713154958561063
1,4,21,1,0.0632103905081749
1,4,21,2,0.06387505913153291
1,4,21,3,0.06377996876835823
1,4,21,4,0.07409891113638878
1,4,21,5,0.07828249828889966
1,4,26,1,0.06305151851847768
1,4,26,2,0.06427356973290443
1,4,26,3,0.06528717931360006
1,4,26,4,0.07433054968714714
1,4,26,5,0.0748458900488913
1,4,31,1,0.06408425979316235
1,4,31,2,0.06818980909883976
1,4,31,3,0.07520364131778479
1,4,31,4,0.0773580395616591
1,4,31,5,0.0782363093458116
1,4,36,1,0.06274875020608306
1,4,36,2,0.06573735969141126
1,4,36,3,0.07581748068332672
1,4,36,4,0.07522439118474722
1,4,36,5,0.07563226856291294
1,4,41,1,0.06809293990954757
1,4,41,2,0.07133133942261338
1,4,41,3,0.07584972074255347
1,4,41,4,0.07405118085443974
1,4,41,5,0.0745991594158113
1,4,46,1,0.06391752045601606
1,4,46,2,0.06416392978280783
1,4,46,3,0.07617759052664042
1,4,46,4,0.07585163926705718
1,4,46,5,0.0753165502101183
1,4,51,1,0.06374196149408817
1,4,51,2,0.0727278389967978
1,4,51,3,0.07540556136518717
1,4,51,4,0.0747114303521812
1,4,51,5,0.0749336602166295
1,4,56,1,0.0633159396238625
1,4,56,2,0.0737329083494842
1,4,56,3,0.07446554023772478
1,4,56,4,0.0755484914407134
1,4,56,5,0.07705586031079292
1,4,61,1,0.06340268068015575
1,4,61,2,0.07550288923084736
1,4,61,3,0.07536305114626884
1,4,61,4,0.07529621943831444
1,4,61,5,0.07654735120013356
1,4,66,1,0.06569137796759605
1,4,66,2,0.07600939134135842
1,4,66,3,0.07572246016934514
1,4,66,4,0.07721149828284979
1,4,66,5,0.07529918104410172
1,4,71,1,0.06431962829083204
1,4,71,2,0.07603419944643974
1,4,71,3,0.07986675016582012
1,4,71,4,0.07626242004334927
1,4,71,5,0.07670782040804625
1,4,76,1,0.0673789600841701
1,4,76,2,0.07846064167097211
1,4,76,3,0.07614448899403214
1,4,76,4,0.07747945841401815
1,4,76,5,0.07651955122128129
1,4,81,1,0.06421908037737012
1,4,81,2,0.07557037053629756
1,4,81,3,0.07667559897527099
1,4,81,4,0.13980777002871037
1,4,81,5,0.12829098151996732
1,4,86,1,0.11328037828207016
1,4,86,2,0.13761820970103145
1,4,86,3,0.13969996944069862
1,4,86,4,0.12693431926891208
1,4,86,5,0.07800511084496975
1,4,91,1,0.06482850993052125
1,4,91,2,0.07637795992195606
1,4,91,3,0.07798359030857682
1,4,91,4,0.07610063999891281
1,4,91,5,0.07936161942780018
1,4,96,1,0.11980285868048668
1,4,96,2,0.07657022913917899
1,4,96,3,0.0810347287915647
1,4,96,4,0.07627895101904869
1,4,96,5,0.07609796011820436
1,4,101,1,0.06864111870527267
1,4,101,2,0.07697965018451214
1,4,101,3,0.0790359708480537
1,4,101,4,0.07790458854287863
1,4,101,5,0.07676571840420365
1,4,106,1,0.07881888188421726
1,4,106,2,0.07621865952387452
1,4,106,3,0.07730240002274513
1,4,106,4,0.07643709890544415
1,4,106,5,0.07629862986505032
1,4,111,1,0.07540974067524076
1,4,111,2,0.07613351102918386
1,4,111,3,0.07646622136235237
1,4,111,4,0.07639906834810972
1,4,111,5,0.07718180073425174
1,4,116,1,0.07541419006884098
1,4,116,2,0.07642799988389015
1,4,116,3,0.07694634143263102
1,4,116,4,0.07873669965192676
1,4,116,5,0.07633137982338667
1,4,121,1,0.07570588029921055
1,4,121,2,0.07640789961442351
1,4,121,3,0.07675796980038285
1,4,121,4,0.07622204022482038
1,4,121,5,0.07631393149495125
1,4,126,1,0.07599432952702045
1,4,126,2,0.07644199067726731
1,4,126,3,0.0766001595184207
1,4,126,4,0.08214781060814857
1,4,126,5,0.07609163876622915
1,4,131,1,0.07643456105142832
1,4,131,2,0.07682288996875286
1,4,131,3,0.07622889010235667
1,4,131,4,0.07900593802332878
1,4,131,5,0.07783434120938182
1,4,136,1,0.07566943066194654
1,4,136,2,0.07709633093327284
1,4,136,3,0.07660538889467716
1,4,136,4,0.07697666063904762
1,4,136,5,0.07642867043614388
1,4,141,1,0.07625749800354242
1,4,141,2,0.07686525117605925
1,4,141,3,0.08179809199646115
1,4,141,4,0.078544020652771
1,4,141,5,0.07842994062229991
1,4,146,1,0.07566757034510374
1,4,146,2,0.08111139992251992
1,4,146,3,0.07711320882663131
1,4,146,4,0.07627388928085566
1,4,146,5,0.07746195886284113
6,4,6,1,0.048142250161617994
6,4,6,2,0.0478109996765852
6,4,6,3,0.048078091349452734
6,4,6,4,0.0482134404592216
6,4,6,5,0.04796327091753483
6,4,11,1,0.06248697871342302
6,4,11,2,0.06310626864433289
6,4,11,3,0.06241325987502932
6,4,11,4,0.06292080041021109
6,4,11,5,0.06285218056291342
6,4,16,1,0.06263674004003406
6,4,16,2,0.06304940907284617
6,4,16,3,0.06483601173385978
6,4,16,4,0.07652971893548965
6,4,16,5,0.07306440966203809
6,4,21,1,0.06374445976689458
6,4,21,2,0.06389084039255977
6,4,21,3,0.06365274079144001
6,4,21,4,0.07581418845802546
6,4,21,5,0.07381096947938204
6,4,26,1,0.06320002023130655
6,4,26,2,0.06699891062453389
6,4,26,3,0.06361858919262886
6,4,26,4,0.07468278985470533
6,4,26,5,0.07738786982372403
6,4,31,1,0.0630363798700273
6,4,31,2,0.06705983774736524
6,4,31,3,0.07314915070310235
6,4,31,4,0.07469797972589731
6,4,31,5,0.07466652197763324
6,4,36,1,0.06356809986755252
6,4,36,2,0.06546959979459643
6,4,36,3,0.07419270928949118
6,4,36,4,0.07402279879897833
6,4,36,5,0.07518234895542264
6,4,41,1,0.06340540945529938
6,4,41,2,0.06446078885346651
6,4,41,3,0.0746457907371223
6,4,41,4,0.0754619506187737
6,4,41,5,0.07506882073357701
6,4,46,1,0.06407133070752025
6,4,46,2,0.06394580937922001
6,4,46,3,0.07688852958381176
6,4,46,4,0.074827391654253
6,4,46,5,0.07561022182926536
6,4,51,1,0.06321229971945286
6,4,51,2,0.06643351865932345
6,4,51,3,0.07492193952202797
6,4,51,4,0.07511182222515345
6,4,51,5,0.07520986953750253
6,4,56,1,0.06372027099132538
6,4,56,2,0.07514303084462881
6,4,56,3,0.07467004004865885
6,4,56,4,0.07682878989726305
6,4,56,5,0.07459015119820833
6,4,61,1,0.06427020998671651
6,4,61,2,0.07508778013288975
6,4,61,3,0.07518850034102798
6,4,61,4,0.07582830963656306
6,4,61,5,0.07490728050470352
6,4,66,1,0.06384457927197218
6,4,66,2,0.07604175014421344
6,4,66,3,0.07456356892362237
6,4,66,4,0.07728589000180364
6,4,66,5,0.07537991972640157
6,4,71,1,0.06376934004947543
6,4,71,2,0.07501450134441257
6,4,71,3,0.07475537015125155
6,4,71,4,0.07499916013330221
6,4,71,5,0.07584505015984178
6,4,76,1,0.06375973112881184
6,4,76,2,0.07469023112207651
6,4,76,3,0.07501894142478704
6,4,76,4,0.09579261997714639
6,4,76,5,0.07668861886486411
6,4,81,1,0.06463261088356376
6,4,81,2,0.0771485804580152
6,4,81,3,0.07627643877640367
6,4,81,4,0.11175076942890882
6,4,81,5,0.11044821003451943
6,4,86,1,0.09292673086747527
6,4,86,2,0.14402447966858745
